Ugur,Year,State,Variable,Value
10.Habar beriş serişdeleri we aragatnaşyk,2015,JEMI,ÝOM kwota,274.0
10.Habar beriş serişdeleri we aragatnaşyk,2015,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,178.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak, 2015,Döwlet,Işe kabul edilenleriň sany,1600.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak, 2015,Döwlet,Ý.B. Işgärleriň sany,4155.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,Döwlet,Işgärleriň sany,10600.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,Döwlet,Işden çykanlaryň sany,1200.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,Döwlet,Ý.B. Işgärler göterimde %,
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,Döwlet,Kabul edilen ÝBI sany,627.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,JEMI,Işgärleriň sany,10600.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,JEMI,Ý.B. Işgärleriň sany,4155.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,JEMI,Kabul edilen ÝBI sany,627.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,147.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,JEMI,ÝOM tamamlanlar,100.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,1139.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,JEMI,Döredilen ýuridik şahslar,0.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,JEMI,Ortaça aýlyk haky,1335.0
11.Maliýe dellalçylygy we ätiýaçlandyrmak,2015,JEMI,ÝOM kwota,100.0
12.Gozgalmaýan emläk bilen bagly amallar, 2015,Döwlet,Işe kabul edilenleriň sany,1600.0
12.Gozgalmaýan emläk bilen bagly amallar, 2015,Döwlet,Ý.B. Işgärleriň sany,598.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,Döwlet,Işgärleriň sany,7200.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,Döwlet,Işden çykanlaryň sany,1800.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,Döwlet,Ý.B. Işgärler göterimde %,
12.Gozgalmaýan emläk bilen bagly amallar,2015,Döwlet,Kabul edilen ÝBI sany,133.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,JEMI,Işgärleriň sany,7200.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,JEMI,Ý.B. Işgärleriň sany,598.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,JEMI,Kabul edilen ÝBI sany,133.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
12.Gozgalmaýan emläk bilen bagly amallar,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,21.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,JEMI,ÝOM tamamlanlar,100.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,38.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,JEMI,Döredilen ýuridik şahslar,0.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,JEMI,Ortaça aýlyk haky,983.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,JEMI,ÝOM kwota,77.0
12.Gozgalmaýan emläk bilen bagly amallar,2015,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,4728.0
"13.Hünärmenlik, ylmy we tehniki işler", 2015,Döwlet,Işe kabul edilenleriň sany,3900.0
"13.Hünärmenlik, ylmy we tehniki işler", 2015,Döwlet,Ý.B. Işgärleriň sany,8567.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,Döwlet,Işgärleriň sany,23600.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,Döwlet,Işden çykanlaryň sany,3200.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,Döwlet,Ý.B. Işgärler göterimde %,
"13.Hünärmenlik, ylmy we tehniki işler",2015,Döwlet,Kabul edilen ÝBI sany,1416.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,Döwlet dahylsyz,Işgärleriň sany,0.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,JEMI,Işgärleriň sany,23600.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,JEMI,Ý.B. Işgärleriň sany,8567.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,JEMI,Kabul edilen ÝBI sany,1416.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
"13.Hünärmenlik, ylmy we tehniki işler",2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,302.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,JEMI,ÝOM tamamlanlar,100.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,600.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,JEMI,Döredilen ýuridik şahslar,0.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,JEMI,Ortaça aýlyk haky,1481.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,JEMI,ÝOM kwota,150.0
"13.Hünärmenlik, ylmy we tehniki işler",2015,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,707.0
14.Administratiw we kömekçi işler, 2015,Döwlet,Işe kabul edilenleriň sany,5800.0
14.Administratiw we kömekçi işler, 2015,Döwlet,Ý.B. Işgärleriň sany,1210.0
14.Administratiw we kömekçi işler,2015,Döwlet,Işgärleriň sany,20500.0
14.Administratiw we kömekçi işler,2015,Döwlet,Işden çykanlaryň sany,4500.0
14.Administratiw we kömekçi işler,2015,Döwlet,Ý.B. Işgärler göterimde %,
14.Administratiw we kömekçi işler,2015,Döwlet,Kabul edilen ÝBI sany,342.0
14.Administratiw we kömekçi işler,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
14.Administratiw we kömekçi işler,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
14.Administratiw we kömekçi işler,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
14.Administratiw we kömekçi işler,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
14.Administratiw we kömekçi işler,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
14.Administratiw we kömekçi işler,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
14.Administratiw we kömekçi işler,2015,JEMI,Işgärleriň sany,20500.0
14.Administratiw we kömekçi işler,2015,JEMI,Ý.B. Işgärleriň sany,1210.0
14.Administratiw we kömekçi işler,2015,JEMI,Kabul edilen ÝBI sany,342.0
14.Administratiw we kömekçi işler,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
14.Administratiw we kömekçi işler,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,43.0
14.Administratiw we kömekçi işler,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,382.0
14.Administratiw we kömekçi işler,2015,JEMI,Döredilen ýuridik şahslar,0.0
14.Administratiw we kömekçi işler,2015,JEMI,Ortaça aýlyk haky,1061.0
14.Administratiw we kömekçi işler,2015,JEMI,ÝOM kwota,80.0
14.Administratiw we kömekçi işler,2015,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,2391.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik, 2015,Döwlet,Işe kabul edilenleriň sany,5500.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik, 2015,Döwlet,Ý.B. Işgärleriň sany,18746.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,Döwlet,Işgärleriň sany,43800.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,Döwlet,Işden çykanlaryň sany,4400.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,Döwlet,Ý.B. Işgärler göterimde %,
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,Döwlet,Kabul edilen ÝBI sany,2354.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,JEMI,Işgärleriň sany,43800.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,JEMI,Ý.B. Işgärleriň sany,18746.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,JEMI,Kabul edilen ÝBI sany,2354.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,662.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,JEMI,ÝOM tamamlanlar,100.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,109.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,JEMI,Döredilen ýuridik şahslar,0.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,JEMI,Ortaça aýlyk haky,1446.0
15.Döwlet dolandyryşy we goranmak; hökmany durmuş üpjünçilik,2015,JEMI,ÝOM kwota,160.0
16.Bilim, 2015,Döwlet,Işe kabul edilenleriň sany,14200.0
16.Bilim, 2015,Döwlet,Ý.B. Işgärleriň sany,59568.0
16.Bilim,2015,Döwlet,Işgärleriň sany,159700.0
16.Bilim,2015,Döwlet,Işden çykanlaryň sany,8100.0
16.Bilim,2015,Döwlet,Ý.B. Işgärler göterimde %,
16.Bilim,2015,Döwlet,Kabul edilen ÝBI sany,5297.0
16.Bilim,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
16.Bilim,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
16.Bilim,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
16.Bilim,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
16.Bilim,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
16.Bilim,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
16.Bilim,2015,JEMI,Işgärleriň sany,159700.0
16.Bilim,2015,JEMI,Ý.B. Işgärleriň sany,59568.0
16.Bilim,2015,JEMI,Kabul edilen ÝBI sany,5297.0
16.Bilim,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
16.Bilim,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,2103.0
16.Bilim,2015,JEMI,ÝOM tamamlanlar,1500.0
16.Bilim,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,1163.0
16.Bilim,2015,JEMI,Döredilen ýuridik şahslar,0.0
16.Bilim,2015,JEMI,Ortaça aýlyk haky,1178.0
16.Bilim,2015,JEMI,ÝOM kwota,1600.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek, 2015,Döwlet,Işe kabul edilenleriň sany,8500.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek, 2015,Döwlet,Ý.B. Işgärleriň sany,11521.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,Döwlet,Işgärleriň sany,54600.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,Döwlet,Işden çykanlaryň sany,7200.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,Döwlet,Ý.B. Işgärler göterimde %,
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,Döwlet,Kabul edilen ÝBI sany,1794.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,JEMI,Işgärleriň sany,54600.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,JEMI,Ý.B. Işgärleriň sany,11521.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,JEMI,Kabul edilen ÝBI sany,1794.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,407.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,JEMI,ÝOM tamamlanlar,400.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,514.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,JEMI,Döredilen ýuridik şahslar,0.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,JEMI,Ortaça aýlyk haky,1147.0
17.Saglygy goraýyş we ilata durmuş taýdan hyzmat etmek,2015,JEMI,ÝOM kwota,497.0
"18.Sungat, dynç alyş we göwün açyş ", 2015,Döwlet,Işe kabul edilenleriň sany,4400.0
"18.Sungat, dynç alyş we göwün açyş ", 2015,Döwlet,Ý.B. Işgärleriň sany,4800.0
"18.Sungat, dynç alyş we göwün açyş ",2015,Döwlet,Işgärleriň sany,23300.0
"18.Sungat, dynç alyş we göwün açyş ",2015,Döwlet,Işden çykanlaryň sany,3700.0
"18.Sungat, dynç alyş we göwün açyş ",2015,Döwlet,Ý.B. Işgärler göterimde %,
"18.Sungat, dynç alyş we göwün açyş ",2015,Döwlet,Kabul edilen ÝBI sany,906.0
"18.Sungat, dynç alyş we göwün açyş ",2015,Döwlet dahylsyz,Işgärleriň sany,0.0
"18.Sungat, dynç alyş we göwün açyş ",2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
"18.Sungat, dynç alyş we göwün açyş ",2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
"18.Sungat, dynç alyş we göwün açyş ",2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
"18.Sungat, dynç alyş we göwün açyş ",2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
"18.Sungat, dynç alyş we göwün açyş ",2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
"18.Sungat, dynç alyş we göwün açyş ",2015,JEMI,Işgärleriň sany,23300.0
"18.Sungat, dynç alyş we göwün açyş ",2015,JEMI,Ý.B. Işgärleriň sany,4800.0
"18.Sungat, dynç alyş we göwün açyş ",2015,JEMI,Kabul edilen ÝBI sany,906.0
"18.Sungat, dynç alyş we göwün açyş ",2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
"18.Sungat, dynç alyş we göwün açyş ",2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,169.0
"18.Sungat, dynç alyş we göwün açyş ",2015,JEMI,ÝOM tamamlanlar,300.0
"18.Sungat, dynç alyş we göwün açyş ",2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,46.0
"18.Sungat, dynç alyş we göwün açyş ",2015,JEMI,Döredilen ýuridik şahslar,0.0
"18.Sungat, dynç alyş we göwün açyş ",2015,JEMI,Ortaça aýlyk haky,1007.0
"18.Sungat, dynç alyş we göwün açyş ",2015,JEMI,ÝOM kwota,702.0
19.Gaýry hyzmat ediş işler, 2015,Döwlet,Işe kabul edilenleriň sany,500.0
19.Gaýry hyzmat ediş işler, 2015,Döwlet,Ý.B. Işgärleriň sany,868.0
19.Gaýry hyzmat ediş işler,2015,Döwlet,Işgärleriň sany,2500.0
19.Gaýry hyzmat ediş işler,2015,Döwlet,Işden çykanlaryň sany,400.0
19.Gaýry hyzmat ediş işler,2015,Döwlet,Ý.B. Işgärler göterimde %,
19.Gaýry hyzmat ediş işler,2015,Döwlet,Kabul edilen ÝBI sany,174.0
19.Gaýry hyzmat ediş işler,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
19.Gaýry hyzmat ediş işler,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
19.Gaýry hyzmat ediş işler,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
19.Gaýry hyzmat ediş işler,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
19.Gaýry hyzmat ediş işler,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
19.Gaýry hyzmat ediş işler,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
19.Gaýry hyzmat ediş işler,2015,JEMI,Işgärleriň sany,2500.0
19.Gaýry hyzmat ediş işler,2015,JEMI,Ý.B. Işgärleriň sany,868.0
19.Gaýry hyzmat ediş işler,2015,JEMI,Kabul edilen ÝBI sany,174.0
19.Gaýry hyzmat ediş işler,2015,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
19.Gaýry hyzmat ediş işler,2015,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,31.0
19.Gaýry hyzmat ediş işler,2015,JEMI,Daşary ýurdy tamamlap ykrar edilenler,3.0
19.Gaýry hyzmat ediş işler,2015,JEMI,Döredilen ýuridik şahslar,0.0
19.Gaýry hyzmat ediş işler,2015,JEMI,Ortaça aýlyk haky,885.0
19.Gaýry hyzmat ediş işler,2015,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,1255.0
20.Işleriň gaýry görnüşleri , 2015,Döwlet,Ý.B. Işgärleriň sany,0.0
20.Işleriň gaýry görnüşleri ,2015,Döwlet,Kabul edilen ÝBI sany,0.0
20.Işleriň gaýry görnüşleri ,2015,Döwlet dahylsyz,Işgärleriň sany,0.0
20.Işleriň gaýry görnüşleri ,2015,Döwlet dahylsyz,Işe kabul edilenleriň sany,0.0
20.Işleriň gaýry görnüşleri ,2015,Döwlet dahylsyz,Işden çykanlaryň sany,0.0
20.Işleriň gaýry görnüşleri ,2015,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,0.0
20.Işleriň gaýry görnüşleri ,2015,Döwlet dahylsyz,Ý.B. Işgärleriň sany,0.0
20.Işleriň gaýry görnüşleri ,2015,Döwlet dahylsyz,Kabul edilen ÝBI sany,0.0
20.Işleriň gaýry görnüşleri ,2015,JEMI,Kabul edilen ÝBI sany,0.0
20.Işleriň gaýry görnüşleri ,2015,JEMI,Döredilen ýuridik şahslar,0.0
20.Işleriň gaýry görnüşleri ,2015,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,1215.0
Jemi, 2020,Döwlet,Işe kabul edilenleriň sany,120500.0
Jemi, 2020,Döwlet,Ý.B. Işgärleriň sany,150293.0
Jemi,2020,Döwlet,Işgärleriň sany,664300.0
Jemi,2020,Döwlet,Işden çykanlaryň sany,100200.0
Jemi,2020,Döwlet,Ý.B. Işgärler göterimde %,
Jemi,2020,Döwlet,Kabul edilen ÝBI sany,19671.0
Jemi,2020,Döwlet dahylsyz,Işgärleriň sany,114800.0
Jemi,2020,Döwlet dahylsyz,Işe kabul edilenleriň sany,67800.0
Jemi,2020,Döwlet dahylsyz,Işden çykanlaryň sany,63600.0
Jemi,2020,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,
Jemi,2020,Döwlet dahylsyz,Ý.B. Işgärleriň sany,21837.0
Jemi,2020,Döwlet dahylsyz,Kabul edilen ÝBI sany,12323.0
Jemi,2020,JEMI,Işgärleriň sany,779100.0
Jemi,2020,JEMI,Ý.B. Işgärleriň sany,172129.0
Jemi,2020,JEMI,Kabul edilen ÝBI sany,31995.0
Jemi,2020,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
Jemi,2020,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,3900.0
Jemi,2020,JEMI,ÝOM tamamlanlar,7000.0
Jemi,2020,JEMI,Daşary ýurdy tamamlap ykrar edilenler,2220.0
Jemi,2020,JEMI,ÝOM kwota,14337.0
Jemi,2020,JEMI,Döredilen ýuridik şahslar,1332.0
Jemi,2020,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,81139.0
Jemi,2020,JEMI,Ortaça aýlyk haky,1857.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak", 2020,Döwlet,Işe kabul edilenleriň sany,14900.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak", 2020,Döwlet,Ý.B. Işgärleriň sany,2307.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,Döwlet,Işgärleriň sany,31600.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,Döwlet,Işden çykanlaryň sany,15400.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,Döwlet,Ý.B. Işgärler göterimde %,
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,Döwlet,Kabul edilen ÝBI sany,1088.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,Döwlet dahylsyz,Işgärleriň sany,16400.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,Döwlet dahylsyz,Işe kabul edilenleriň sany,3100.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,Döwlet dahylsyz,Işden çykanlaryň sany,2800.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,Döwlet dahylsyz,Ý.B. Işgärler göterimde %,
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,Döwlet dahylsyz,Ý.B. Işgärleriň sany,1312.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,Döwlet dahylsyz,Kabul edilen ÝBI sany,248.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,JEMI,Işgärleriň sany,48000.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,JEMI,Ý.B. Işgärleriň sany,3619.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,JEMI,Kabul edilen ÝBI sany,1336.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,JEMI,Ugurlar boýunça Ý.B. Işgärler göterimde %,
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,JEMI,Pensiýa ýaşyna ýetenleriň takmynan sany,82.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,JEMI,ÝOM tamamlanlar,650.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,JEMI,Daşary ýurdy tamamlap ykrar edilenler,38.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,JEMI,ÝOM kwota,865.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,JEMI,Döredilen ýuridik şahslar,414.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,JEMI,Hususy telekeçilikde işleýän telekeçileriň sany,1961.0
"1.Оba hojalygy, tokaý hojalygy we balyk tutmak",2020,JEMI,Ortaça aýlyk haky,1268.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak, 2020,Döwlet,Işe kabul edilenleriň sany,5500.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak, 2020,Döwlet,Ý.B. Işgärleriň sany,3225.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,Döwlet,Işgärleriň sany,27100.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,Döwlet,Işden çykanlaryň sany,6200.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,Döwlet,Ý.B. Işgärler göterimde %,
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,Döwlet,Kabul edilen ÝBI sany,655.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,Döwlet dahylsyz,Işgärleriň sany,9300.0
2.Magdan gazyp çykaryjy senagat we känleri işläp taýýarlamak,2020,Döwlet dahylsyz,Işe kabul edilenleriň sany,500.0
